index,Subject,Session,PSNR,MSE,NMI,SSIM,SoftwareVersions
0,P0003,20230927164642,33.40718745508805,0.0026262785242023,1.4620276040755698,0.9844703740456832,8.6.0
1,P0003,20230928180538,32.801401284973366,0.0027640728518901,1.4544627101706995,0.983688979744792,8.6.0
2,P0003,20231003162834,33.03958524917992,0.0026952110078508,1.4572514324654984,0.9839502563758386,8.6.0
3,P0003,20231004161510,33.504831694528924,0.0028832463866549,1.461046950165205,0.9830699397681304,8.6.0
4,P0003,20231005183315,33.25936815580669,0.0026766357108361,1.4599578523272687,0.984005325124078,8.6.0
5,P0003,20231009170558,33.273788181635425,0.0026067666803258,1.4614835161168491,0.9846390109901152,8.6.0
6,P0003,20231010170450,32.967104339653034,0.0027572869241465,1.4561475778354376,0.983826044637584,8.6.0
7,P0003,20231011155330,33.278137915802326,0.0026191039784965,1.4610272252915577,0.98455969182539,8.6.0
8,P0003,20231016145010,33.64685256678134,0.0027356192606341,1.4639000265690936,0.9839489116070336,8.6.0
9,P0003,20231017153058,32.731760050293055,0.0031492896843139,1.4483061150187668,0.9817933999253676,8.6.0
10,P0003,20231018144455,33.27270246697162,0.0026924024991167,1.4599839377078745,0.9845563006352864,8.6.0
11,P0003,20231019140413,33.279528242613644,0.0027823155434025,1.4589198725517856,0.9839461940554406,8.6.0
12,P0003,20231023143153,33.291648840790735,0.0027245595746443,1.4601361196524598,0.9839855973814964,8.6.0
13,P0003,20231024194752,32.996062163305496,0.0026892637005537,1.4567432959990665,0.984062163321606,8.6.0
14,P0003,20231030143250,33.64894228466287,0.0028535497878339,1.4635120386051117,0.9825906987938948,8.6.0
15,P0003,20231031150517,33.89512062681262,0.0027245475015327,1.46738293059227,0.9837106829102809,8.6.0
16,P0003,20231101144234,33.95568500921942,0.0026829277537674,1.468301505482617,0.9841779698755292,8.6.0
17,P0003,20231102152114,33.91323485832108,0.0026324028441473,1.4681461014658974,0.9846062509611708,8.6.0
18,P0003,20231106164746,33.27322268883256,0.0026586303397999,1.4610651425880106,0.984492011854357,8.6.0
19,P0003,20240226191914,33.24746044698759,0.0026866598223586,1.4601361833771862,0.9842371740294972,8.6.1
20,P0003,20240227143405,33.1579718482852,0.0026532499380553,1.4592058649054764,0.9844623932736692,8.6.1
21,P0003,20240228144738,33.1421024697482,0.0028582771010531,1.456746321672943,0.9831652432771532,8.6.1
22,P0004,20230629100751,34.602683296918954,0.0025777987558094,1.484907091030354,0.9825073268324236,rc8.7.0_Beta1
23,P0004,20230705075534,34.56300353791072,0.0025518278416776,1.4848590392690646,0.9829943689725228,rc8.7.0_Beta1
24,P0004,20230706122347,33.96734509385214,0.0027713978255371,1.4750494710446067,0.9813210668920198,rc8.7.0_Beta1
25,P0004,20230710092716,34.33934178993057,0.0025949600745408,1.4814651734013724,0.9825187578517932,rc8.7.0_Beta1
26,P0004,20230717150819,34.33225578719401,0.0026060300328614,1.481348627313812,0.9825743898993532,rc8.7.0_Beta1
27,P0004,20230814132223,34.58605586826802,0.0025635751055578,1.4848371361890518,0.9827967369563764,rc8.7.0_Beta1
28,P0004,20230821081945,34.46057842827795,0.0025501975409169,1.48335974501003,0.9833334160983884,rc8.7.0_Beta1
29,P0004,20230823104750,34.02971473310208,0.0028586886978167,1.4752143114097007,0.9805939930840664,rc8.7.0_Beta1
30,P0004,20230824084610,34.23683313736057,0.0025100141104737,1.4808464462973767,0.9831207440218512,rc8.7.0_Beta1
31,P0004,20230825102439,34.62827649262297,0.0025201705274798,1.4857649282082088,0.9831909598193722,rc8.7.0_Beta1
32,P0004,20230828083112,33.90261888196321,0.0029014280795487,1.4745739338114552,0.9803232828688,rc8.7.0_Beta1
33,P0004,20230830085431,34.51444229985562,0.0025390665033633,1.48398095386648,0.9830890885540234,rc8.7.0_Beta1
34,P0004,20230831083846,34.19097296678914,0.0026625464234871,1.4790910740564749,0.9818501187617976,rc8.7.0_Beta1
35,P0004,20230901085403,34.5676794333987,0.0025813816138979,1.484573892893703,0.9827122390061448,rc8.7.0_Beta1
36,P0004,20240115085627,34.75528765809167,0.0028280288920902,1.485359726214245,0.9814238780471116,rc8.7.0_Beta1
37,P0004,20240117095633,34.59536284298895,0.0027439334969729,1.482951052247921,0.9819987293632488,rc8.7.0_Beta1
38,P0004,20240118081140,34.268778753950706,0.0027724081104353,1.4786403691106818,0.9814363900793528,rc8.7.0_Beta1
39,P0004,20240119083620,33.99963974409324,0.0026989065609965,1.4747847167462107,0.979647645351558,rc8.7.0_Beta1
40,P0004,20240226100203,34.3760840963175,0.0026620544466702,1.480245649712315,0.9808330610512946,rc8.7.0_Beta1
41,P0004,20240227075502,34.52323169935154,0.002599512995144,1.482998676134656,0.9817188485717976,rc8.7.0_Beta1
42,P0004,20240229082002,34.2953949637625,0.0026281454337877,1.4793248988003256,0.981276914733558,rc8.7.0_Beta1
43,P0007,20231107095915,35.0842542433743,0.0024131053786053,1.4928531553716975,0.9846429465804808,rc8.7.0_Beta1
44,P0007,20231107101500,34.96343385624159,0.0023928392316437,1.4921271085967702,0.9849620522550898,rc8.7.0_Beta1
45,P0008,20231101135602,34.39927906814589,0.0021093300487705,1.4873206317281793,0.9868776050242224,rc8.7.0_Beta1
46,P0008,20231101140743,34.57427477244739,0.0020504910515707,1.4909291273170966,0.9872204238727283,rc8.7.0_Beta1
47,P0008,20231101141503,34.34090117989203,0.0022561449799627,1.4863414398007715,0.9859720923057712,rc8.7.0_Beta1
48,P0008,20231101142916,34.44340590887083,0.0022131597869948,1.487533442136724,0.9861825860953792,rc8.7.0_Beta1
49,P0008,20231101145303,33.89053939004561,0.0024344197867437,1.478772737555137,0.9849388833982664,rc8.7.0_Beta1
50,P0008,20231101145908,34.48269238950245,0.0022496746061617,1.4866604312675875,0.9860410266604476,rc8.7.0_Beta1
51,P0008,20240312080322,35.07183866034769,0.0022649918359574,1.4940572797689688,0.9861343889900916,rc8.7.0_Beta1
52,P0008,20240313071948,35.27451067217413,0.0022529369045704,1.496621475542379,0.9862087745147152,rc8.7.0_Beta1
53,P0008,20240314080347,35.08931650949475,0.002276891894501,1.4940328984101603,0.9859689417098368,rc8.7.0_Beta1
54,P0009,20230619164159,33.87387805728585,0.0024223516003271,1.4733697950877098,0.9826772831349544,rc8.6.0
55,P0009,20230621095657,33.93010266904497,0.0023324005273206,1.4745697856091198,0.98352002690577,rc8.6.0
56,P0009,20230622093334,33.89520689750488,0.0023712127067738,1.4739745912965487,0.9830044507170522,rc8.6.0
57,P0009,20230623094531,34.25832048547787,0.0023446992327985,1.478517800910116,0.9833422025457916,rc8.6.0
58,P0009,20230626114009,33.71208247277043,0.0023782666317564,1.4715135198423728,0.983038309613467,rc8.6.0
59,P0009,20230628122618,34.451449183304035,0.002363612000549,1.480362135943782,0.9830605195650814,rc8.6.0
60,P0009,20230629175409,34.31359062354011,0.0023941450745058,1.4789938499012465,0.9826471456503324,rc8.6.0
61,P0009,20230630093957,34.383304963263214,0.0023669985986983,1.4800019100753767,0.9829246137071443,rc8.6.0
62,P0009,20230703094159,33.66778440973388,0.0024423777875239,1.4708346962126202,0.9826091151406344,rc8.6.0
63,P0009,20230704162244,34.01653938059906,0.0023708468988328,1.4752829023695648,0.9830854268082432,rc8.6.0
64,P0009,20230705154338,33.84186006504679,0.002343979374646,1.474396077222724,0.9825812835019752,rc8.6.0
65,P0009,20230707084743,34.05331796464655,0.0023406334197714,1.476261787833042,0.9832114518935292,rc8.6.0
66,P0009,20230710092545,33.99414627905691,0.0023278670620709,1.4750574744825398,0.9830827497520088,rc8.6.0
67,P0009,20230719095652,34.52356082693372,0.0026111538496441,1.4852444478136682,0.9826322664145744,rc8.7.0_Beta1
68,P0009,20230721094001,34.56790343336785,0.0024900081984957,1.4864881583573657,0.9840054647281664,rc8.7.0_Beta1
69,P0009,20230724125055,35.017143028437864,0.0024611844442974,1.492405564339511,0.9835847666229924,rc8.7.0_Beta1
70,P0009,20230725094314,34.62333121317422,0.0024406660835981,1.487799240752627,0.983551393196026,rc8.7.0_Beta1
71,P0009,20230726093400,34.917048164142955,0.0023584437333812,1.4920395053570723,0.9842034388790404,rc8.7.0_Beta1
72,P0009,20230727151503,34.6841264176181,0.0024504073457443,1.4884637860009116,0.9834650145380364,rc8.7.0_Beta1
73,P0009,20230731131816,34.85229889591436,0.002456485366393,1.4907577090660893,0.9836224761927264,rc8.7.0_Beta1
74,P0009,20230807150155,34.686375317744044,0.0024902155199718,1.488565894264461,0.983565167318976,rc8.7.0_Beta1
75,P0009,20230809093310,34.314371340537335,0.0026622177428693,1.4817090355682565,0.9828044443061172,rc8.7.0_Beta1
76,P0009,20230905093527,34.84745748860791,0.002571470846208,1.489262503876038,0.9831326107642588,rc8.7.0_Beta1
77,P0009,20230907092841,34.804955916455135,0.0024363741702556,1.4899595966044206,0.9842093454281344,rc8.7.0_Beta1
78,P0009,20230911161444,34.94775508324689,0.0023710940631313,1.492548919177424,0.9845360372968304,rc8.7.0_Beta1
79,P0009,20230912092018,34.72385263136751,0.0025632871921025,1.488007050184658,0.9834582437977836,rc8.7.0_Beta1
80,P0009,20230918154853,35.18145084098046,0.0023142052698505,1.4955682985067569,0.9850639631957508,rc8.7.0_Beta1
81,P0009,20231003162058,35.04824764881127,0.0024625546017175,1.4923823722271703,0.9840897589213958,rc8.7.0_Beta1
82,P0009,20231004142303,35.44566220452356,0.0024731159435113,1.4975018793587174,0.9840507209813458,rc8.7.0_Beta1
83,P0009,20231016143746,34.404108206605144,0.0027186891885802,1.4829471393391866,0.9821616780981924,rc8.7.0_Beta1
84,P0009,20231019083153,35.197253715003754,0.002370940201732,1.4963785790080837,0.9836663678029148,rc8.7.0_Beta1
85,P0009,20231031102232,35.27303277942106,0.0023506213545338,1.4969347931713592,0.9844851613431036,rc8.7.0_Beta1
86,P0009,20231116145830,34.79684001522766,0.0024488715642037,1.489811727302365,0.9838860486368844,rc8.7.0_Beta1
87,P0009,20231117093757,34.67677672662881,0.0024978671113845,1.4878025041797425,0.9828076745897856,rc8.7.0_Beta1
88,P0009,20240311115251,34.89656332944806,0.0024643132018443,1.4907392855294772,0.9842095979652552,rc8.7.0_Beta1
89,P0009,20240312093459,34.72911549809835,0.00262655513595,1.4872775655321144,0.9833536834224912,rc8.7.0_Beta1
90,P0009,20240313083821,34.5189268919177,0.00271424126799,1.484640359885635,0.98278402206227,rc8.7.0_Beta1
91,P0010,20240304092435,34.30565581570606,0.0025784113115384,1.4820380308727787,0.9832886941319768,rc8.7.0_Beta1
92,P0010,20240305091810,33.826423556446,0.002756749680265,1.4737674447080764,0.9822947694024546,rc8.7.0_Beta1
93,P0010,20240307091945,34.19995005490389,0.0025317291314083,1.4801025394961465,0.98322348200159,rc8.7.0_Beta1
95,P0012,20231012090832,34.259459038612775,0.002532439105049,1.4790640314660075,0.9817043877660386,8.6.1
96,P0012,20231019082834,34.07915197713242,0.0024005655791166,1.4779248512758167,0.9833388742290232,8.6.1
97,P0012,20231102072526,34.229586412663686,0.0025237063264998,1.4787915667475098,0.9818620679648769,8.6.1
98,P0012,20231110110115,34.170084108989755,0.0025572781522259,1.4765786117844537,0.9812043041018312,8.6.1
99,P0012,20231207100537,32.41019265149293,0.0031870530332413,1.4506132667964116,0.9769109716793654,8.6.1
100,P0012,20231213082836,33.76139395151589,0.002887310453294,1.4700499141683985,0.9795324666306858,8.6.1
101,P0012,20231221071744,34.406182790241736,0.0026967870983851,1.4787879726157718,0.9797375208799498,8.6.1
102,P0012,20240206101312,33.45339517842311,0.0031885967181336,1.4635708385912969,0.9772151481207828,8.6.1
103,P0012,20240208105104,33.97596974719547,0.0025760174028957,1.4743991868626531,0.9809339306493248,8.6.1
104,P0012,20240403093142,35.03044470287413,0.0023405579053863,1.490288662283799,0.9836448273486452,rc8.8.0_Beta1
105,P0012,20240404082136,35.056530981839146,0.0022330878821709,1.4919084007635597,0.9851638296007672,rc8.8.0_Beta1
106,P0012,20240405091422,35.76009636965595,0.0021378108027346,1.502227828680016,0.98598043414578,rc8.8.0_Beta1
107,P0013,20230621132858,33.70005256444948,0.0026866247467674,1.4681747401677754,0.9801309182757056,rc8.6.0
108,P0013,20240408085308,34.65157018954145,0.0026374222946786,1.4849544692460876,0.9823528490151624,rc8.7.0_Beta1
109,P0013,20240409080856,34.33874622570827,0.0026641115512788,1.4807037448445035,0.982002588147422,rc8.7.0_Beta1
110,P0013,20240410081030,34.06603592446087,0.0026579587156544,1.4772566283729884,0.9819265379800124,rc8.7.0_Beta1
111,P0014,20230913105152,33.99260595526379,0.0025033880132641,1.4730720462899662,0.982880987806831,rc8.6.0
112,P0014,20230926101300,33.55966746875423,0.0024901312495015,1.4677587903977023,0.9822997448009244,rc8.6.0
113,P0014,20231003103530,33.7952455424578,0.0025008057141722,1.4703855099791965,0.9830971589086496,rc8.6.0
114,P0014,20240304152521,34.034828876489705,0.0024956616293075,1.473820087701856,0.9831590620764672,rc8.6.0
115,P0014,20240305101203,33.6965525541888,0.0024992647179918,1.4690304716484606,0.9829239245581344,rc8.6.0
116,P0014,20240306085139,33.74835102544333,0.0024128158571066,1.4707055355012175,0.9831783976498416,rc8.6.0
117,P0017,20240209102454000000,33.627971126884745,0.0027086479089772,1.470789341651305,0.9830340120270048,rc8.7.0_Beta1
118,P0017,20240212104820000000,33.68040666218103,0.0025982621188672,1.4727224308167444,0.9832959875390572,rc8.7.0_Beta1
119,P0017,20240213101206000000,33.39843355623281,0.0025327317719625,1.46827924166089,0.9836053992360632,rc8.7.0_Beta1
120,P0017,20240214101745000000,33.20691525136563,0.0027924781122271,1.465331034864356,0.9824529763791442,rc8.7.0_Beta1
121,P0017,20240215101406,33.82794897633599,0.0025714613999101,1.471549041044811,0.984006938641788,8.7.0
122,P0020,20240320161128,33.61225336920592,0.0028622016614418,1.4664561319672278,0.9825900462671068,8.7.0
123,P0020,20240321111058,34.34187227837525,0.0026534948337862,1.4773668013626209,0.9841136366041224,8.7.0
124,P0020,20240322121526,33.65515322290352,0.0038130547549828,1.4600789661738764,0.9726922908962308,8.7.0
125,P0020,20240325160454,33.69214804507158,0.0028967867341941,1.4672017551690557,0.9823148005156676,8.7.0
126,P0020,20240326150650,33.728356526727886,0.0028342637845224,1.468507020695084,0.9830852364157536,8.7.0
127,P0020,20240327093628,33.657069704974994,0.0028761482357113,1.4675932970484435,0.9829174699126996,8.7.0
128,P0020,20240328100559,33.26909145553694,0.0027809736660632,1.4636744029100552,0.9833851953332248,8.7.0
129,P0020,20240402115656,33.73515978431457,0.0025696799561892,1.4707255681563225,0.9842347123137648,8.7.0
130,P0020,20240403144347,33.63917167693795,0.0026664649940543,1.4696524344041957,0.9836165047991152,8.7.0
131,P0020,20240409110436,33.560497399456736,0.0024656371343972,1.4698710039281977,0.9847947349580743,8.7.0
132,P0020,20240410085959,33.349801044006725,0.0025808259215899,1.4661224688765715,0.9842438633792254,8.7.0
133,P0020,20240412105043,33.60821410798835,0.0028221473235654,1.467406682377527,0.9826830646607516,8.7.0
134,P0020,20240416152638,33.76688253163222,0.0028516756742128,1.468458101129387,0.983178429933633,8.7.0
135,P0020,20240417153058,34.16874692377576,0.0027759082266276,1.473511427171178,0.9833856815669294,8.7.0
136,P0020,20240418144739,34.013490236272325,0.0026915176935009,1.4734006887684108,0.983828876413822,8.7.0
137,P0020,20240419161029,34.86982773410472,0.0027065820523031,1.4827711807291672,0.9840812651378285,8.7.0
138,P0020,20240422110548,33.72895146888504,0.0028273153259601,1.4687961038074466,0.9824975027026334,8.7.0
139,P0023,20230913105802,33.25892202266551,0.0027966560454935,1.461516071014902,0.9795116806353852,rc8.6.0
140,P0023,20240319152741,33.35936652461382,0.0025367979532664,1.4659503050361653,0.9811750147572488,rc8.6.0
141,P0023,20240320154616,32.99845188031001,0.0024591771684867,1.4620821214800486,0.9815863115086524,rc8.6.0
142,P0023,20240321103219,33.529029392254884,0.0023410907421488,1.470205256801934,0.9824078271345572,rc8.6.0
143,P0027,20231012161014,29.457713927874345,0.0054244638400843,1.4022769424039323,0.9620135599569328,8.6.1
144,P0027,20231107113643,29.083857935651224,0.0062264642243345,1.3934037119880784,0.954730805951252,8.6.1
145,P0027,20240304095313,30.791375933583712,0.004316972167542,1.4223539939522252,0.9691928415197784,8.6.1
146,P0027,20240305092247,30.488934620538505,0.0042919080253132,1.4179947226482514,0.9677582311467744,8.6.1
147,P0027,20240306132526,30.630772608987563,0.0042464583798946,1.4205468358091562,0.9687828422125973,8.6.1
148,P0027,20240307092215,30.28388183928796,0.0043835935322589,1.417177871596836,0.9679151301428844,8.6.1
149,P0027,20240311092901,30.46476619099797,0.0043189080533226,1.4178453578810697,0.968138843099734,8.6.1
150,P0027,20240313101045,30.655081556755263,0.0040271138530194,1.4223680359935589,0.9706855339702876,8.6.1
151,P0027,20240320141045,30.559206990892317,0.004545890679266,1.4179611604943334,0.9671530286266888,8.6.1
152,P0027,20240321133021,30.4092894436739,0.0041895131505093,1.4189474784189935,0.9686832052387132,8.6.1
153,P0027,20240325091522,30.631767630544505,0.0040676412983076,1.4218514760754737,0.9715928011896416,8.6.1
154,P0027,20240401091415,29.843136022005854,0.0052184326012319,1.406432322391059,0.9613162036837696,8.6.1
155,P0027,20240403090447,30.6094646694464,0.0041683848134129,1.4206620131911534,0.970019130333995,8.6.1
156,P0027,20240408100908,29.852452028811022,0.0043351595508679,1.4113310049792012,0.9681464881707168,8.6.1
157,P0027,20240415105911,30.43441718495072,0.0044111204780974,1.4166525713541156,0.9676280612646744,8.6.1
158,P0027,20240417091427,30.304346129329108,0.0046375983835321,1.4143376311952751,0.965499743302747,8.6.1
159,P0027,20240422091347,32.31999050762781,0.0030075152479532,1.4496539680618423,0.9751436140012296,rc8.8.0_Beta1
160,P0029,20240209102454,33.62796606625497,0.0027086510652393,1.4707892106424634,0.9830335016044814,rc8.7.0_Beta1
161,P0029,20240212104820,33.68042906253247,0.0025982487173995,1.4727248670176512,0.98329344271686,rc8.7.0_Beta1
162,P0029,20240213101206,33.39873507487163,0.0025325559375093,1.4683010782677106,0.9836054971496164,rc8.7.0_Beta1
163,P0029,20240214101745,33.20716222651325,0.0027923193137361,1.4653437070684316,0.9824537162767694,rc8.7.0_Beta1
164,P0029,20240215101406,33.828011099295246,0.002571424617115,1.471551963967346,0.9840065153071892,8.7.0
165,P0029,20240216101441,34.24723137768598,0.0025667848097533,1.4765407731700677,0.9842466193486245,8.7.0
166,P0029,20240219101508,33.52397434815367,0.002680651938859,1.4669293935152812,0.9833905462026384,8.7.0
167,P0029,20240220102511,33.481503455273874,0.0026910989231963,1.4665667530199469,0.9832294817877304,8.7.0
168,P0029,20240221101105,33.25154587436563,0.002771981991072,1.4632267613349144,0.982692369382206,8.7.0
169,P0029,20240222100850,33.52181371406454,0.0025075650613171,1.468197067041616,0.9844153300903974,8.7.0
170,P0029,20240223134305,33.343298393759056,0.0025664489091145,1.466077285899673,0.9838951045018428,8.7.0
171,P0029,20240224121223,33.45761676443019,0.0026830963772157,1.465941238114413,0.9838567181780228,8.7.0
172,P0029,20240229102506,34.1405982150752,0.0027630105155713,1.472995168115252,0.9828705287295691,8.7.0
173,P0029,20240301115421,34.1405982150752,0.0027630105155713,1.472995168115252,0.9828705287295691,8.7.0
174,P0029,20240311102555,33.84913852063596,0.0026520879660154,1.4706441135021255,0.9834931013022338,8.7.0
175,P0029,20240312104439,33.83068711041308,0.0025289394258378,1.4715639482304763,0.9841423712527296,8.7.0
176,P0029,20240313103939,33.35394829479944,0.0025916246431199,1.466025410106509,0.983487776495054,8.7.0
177,P0029,20240314103905,33.580700293347256,0.0026778580250506,1.467873776290637,0.9830773016708464,8.7.0
178,P0029,20240315104154,33.59107606808912,0.0025636355010285,1.4691022540669207,0.983978260661786,8.7.0
179,P0029,20240318110247,32.93847702811311,0.0026777969943133,1.4594919616330824,0.982617040955379,8.7.0
180,P0029,20240319111148,32.93847702811311,0.0026777969943133,1.4594919616330824,0.982617040955379,8.7.0
181,P0029,20240320103747,33.54533979675602,0.00254513745685,1.467447214702591,0.9838134264636874,8.7.0
182,P0029,20240321111145,32.517478571684805,0.0027786105288002,1.4546964081688054,0.9819157057288492,8.7.0
183,P0029,20240322103234,33.424672689783584,0.0025873843499545,1.4661837778053295,0.9834176926625986,8.7.0
184,P0029,20240326102918,32.7955395163714,0.0027133934166669,1.4587740846335069,0.982051764078626,8.7.0
185,P0029,20240328115023,32.99175424790936,0.0026607736842825,1.4614167898492074,0.9823251408499876,8.7.0
186,P0029,20240401101825,33.172656661461815,0.0026042224992267,1.4627342664376035,0.9831629445114104,8.7.0
187,P0029,20240405103141,34.92245849782863,0.0024307857577718,1.4866816496624262,0.98476806524998,8.7.0
188,P0029,20240415101749,33.13117425876094,0.0025829430800285,1.4629877297129883,0.9835855642022644,8.7.0
189,P0030,20240212155447,32.48947485131657,0.0032859140251914,1.447285123880456,0.9761672808086996,8.7.0
190,P0030,20240213144630,33.39131085380422,0.0024270080333739,1.4667319360049058,0.9846800466591028,8.7.0
191,P0030,20240214145136,33.72156039780704,0.0024722424798588,1.4697231614165245,0.9850663842648274,8.7.0
192,P0030,20240215094828,33.351906920597344,0.0024217498292765,1.4666542062075631,0.984723290451086,8.7.0
193,P0030,20240216085954,33.09749083071398,0.0026899632964299,1.4609122956866611,0.9836181316985996,8.7.0
194,P0031,20240318081439,33.51417295655766,0.002665665175086,1.4652790638244657,0.9837535597894655,8.6.1
195,P0031,20240319081427,32.80797345686268,0.0029675834920065,1.4530295655919474,0.981735955911585,8.6.1
196,P0031,20240322081806,32.78710525959802,0.0025784587286336,1.4569484324410713,0.9842977608749708,8.6.1
197,P0039,20230908101845,33.72365767502126,0.0025029170704217,1.472458346868006,0.9820399493214492,8.6.1
198,P0039,20230914130702,33.74630042742759,0.0024987177612109,1.4709603634624733,0.98209261842276,8.6.1
200,P0039,20231107075151,33.03361320167434,0.0025926977956463,1.46224744509853,0.9811997844292996,8.6.1
201,P0039,20231108080542,33.12744381852201,0.0025733506516628,1.4635795125838718,0.9811029620900172,8.6.1
202,P0039,20231109083901,33.19529126331287,0.002599913693929,1.4647548782741728,0.9802691114781252,8.6.1
203,P0039,20231110092316,32.96518109480036,0.0027957312818707,1.4604900047610063,0.979251162511481,8.6.1
204,P0039,20231113090343,32.71722955551907,0.0026523692424136,1.4577750458873049,0.9807410479487406,8.6.1
205,P0039,20231114092421,33.18863468072053,0.0026252721306317,1.4641203634336255,0.9804070172377612,8.6.1
206,P0039,20231115083617,32.78491054851248,0.0028734882315684,1.457237569493999,0.9786671319998204,8.6.1
207,P0039,20231120082751,33.70394740864666,0.0024413895713017,1.4714621178712683,0.9822793876388656,8.6.1
208,P0039,20231121075056,32.507203734014794,0.0025742888747788,1.4558069994383698,0.98159978243166,8.6.1
209,P0039,20231122075040,32.703303088872815,0.0024944100664937,1.4589817992635554,0.9821586880336312,8.6.1
210,P0039,20231127101409,32.65125532150375,0.0030248170957253,1.454122216299438,0.9771808818652232,8.6.1
211,P0039,20231129080301,33.78917256248171,0.0024905744551239,1.4719713587271288,0.9815850284564012,8.6.1
212,P0039,20231130080454,33.7986490692948,0.0025362257396601,1.4712929569867337,0.9810599006991754,8.6.1
213,P0039,20231201083928,32.73616089705135,0.0026729034375431,1.4581301111814082,0.9797841918153232,8.6.1
214,P0039,20231204092804,32.47159940853127,0.0028081855911414,1.4539529863026328,0.9788169635594762,8.6.1
215,P0039,20231206081850,32.39459639195462,0.00300348807809,1.4509870580871087,0.9762011179375848,8.6.1
216,P0039,20231207081337,33.22666426322256,0.0026623842216798,1.463447290976852,0.9804363686768294,8.6.1
217,P0039,20231208095515,32.61964055563981,0.0030723489055927,1.452506451841472,0.975209914119656,8.6.1
218,P0039,20231212081746,33.65696894582136,0.0024492117455767,1.4703418719673205,0.9818578180866688,8.6.1
219,P0039,20231213074331,33.33354355501757,0.0025140886988362,1.4663588903397535,0.9813199755098688,8.6.1
220,P0039,20231214090304,33.29564483688192,0.0025118667165001,1.4656483576048134,0.9815048463146866,8.6.1
221,P0039,20231215080515,33.025771718546864,0.0024947597019502,1.4634126655434592,0.9816453093393503,8.6.1
222,P0039,20231218093330,33.441028064508004,0.0024668093060866,1.4686088947125788,0.9821094907727644,8.6.1
223,P0039,20231219075843,32.75986739341881,0.0026704740139612,1.4582502635335832,0.9808870281394898,8.6.1
224,P0039,20231221091802,33.28477383277552,0.0025340148584487,1.465827422629256,0.9813269965374168,8.6.1
225,P0039,20231222084532,33.63640094978852,0.00245655530435,1.470751597700435,0.9817610467549618,8.6.1
226,P0039,20231229094441,33.80653835454436,0.0024001137824694,1.47327331330711,0.982432839489916,8.6.1
227,P0039,20240102074747,33.35605947981208,0.0024998670261912,1.4667521725875348,0.982123883049912,8.6.1
228,P0039,20240108075637,32.850829438028526,0.0025442523971137,1.460434738582479,0.9812960210910648,8.6.1
229,P0039,20240109082835,32.99579249315397,0.0027367539078574,1.4600176802135036,0.9803514865556178,8.6.1
230,P0039,20240110090505,33.38734461018584,0.0024086451401143,1.4676269552644166,0.9827788986416998,8.6.1
231,P0039,20240111081441,33.44769617391394,0.0025118747444057,1.4677406915635962,0.982178670033821,8.6.1
232,P0039,20240112081130,33.361690634919995,0.0024476870373595,1.4664352523438513,0.9828217371839928,8.6.1
233,P0039,20240116122813,33.05495001017568,0.0024862516500809,1.4624849283639492,0.9816501250949664,8.6.1
234,P0039,20240122075953,33.25592117798757,0.0025329902704091,1.464683231275612,0.981170324762147,8.6.1
235,P0039,20240123093932,33.139172866099834,0.0025207693242719,1.4629721116269452,0.9821890121274606,8.6.1
236,P0039,20240125081132,34.0019692992638,0.0023986757898724,1.474798345899002,0.9823996784194766,8.6.1
237,P0039,20240126080726,33.08480624657963,0.0026796677426225,1.4611772636453926,0.9808363057592536,8.6.1
238,P0039,20240129074340,33.67013378582901,0.002486440211421,1.470578844648257,0.9821060673319596,8.6.1
239,P0039,20240130082431,33.829468757012265,0.0024992090270066,1.4725410507092451,0.9816163708327396,8.6.1
240,P0039,20240131094822,33.05875408741918,0.0025820909259087,1.4625882118092006,0.9810469141293944,8.6.1
241,P0039,20240201080215,33.809503632571,0.0024483931493518,1.472133713100364,0.9827051312612765,8.6.1
242,P0039,20240202093220,33.60190122406213,0.0025532383362465,1.469254724240751,0.9816581783208465,8.6.1
243,P0039,20240207083415,33.824944829163314,0.0024451363256445,1.471588164671321,0.9826516660922662,8.6.1
